,Komentar,jumlahlike,tanggal,waktu,komentator,Sentiment
262,kita adalah bagian dari sejarah,2.0,2023-07-11,04:49:34,fathirganteng1710,positive
263,2023,0.0,2023-07-09,09:30:20,BocilKematian02,positive
264,ditahun 2020 saya mempunyai teman dan saya tinggal di sana tapi sya berpisah dengan teman saya dan si tahun 2020 adalah hal yg tak bisa di lupakan tapi tidak dengan virus covid,1.0,2023-07-08,12:05:17,suciisyangardianhehee,neutral
265,iya bro,0.0,2023-07-08,12:05:57,suciisyangardianhehee,positive
266,ya allah rindu,0.0,2023-07-08,07:20:21,astifatma6748,positive
267,gak kerasa libur panjang sudah berakhir 3 tahun sudah berlalu ini adalah momen yg tidak terlupakan bukan kangen virusnya tetapi kangen kenangan libur sekolah main game kumpul kumpul sama temen di rumah temen sambil main free fire jadi kangen vibes 2020,7.0,2023-07-08,05:02:33,hafsaaldzaki,neutral
268,libur 2 minggu jaadi 2 tahun,0.0,2023-07-08,05:04:07,hafsaaldzaki,neutral
269,hafsaaldzakisama gw juga kangen,0.0,2023-07-14,11:39:39,herlanamz2936,negative
270,rindu suasana 2020 tapi gak rindu virusnya,7.0,2023-07-06,19:32:13,Navydaa_,negative
271,wkwk kangen libur,2.0,2023-07-07,08:29:29,rapzyyy67,negative
272,huee dah 3 tahun melalui masa2 susah dan penuh duka allhamdullilah masi di beri kesehatan,2.0,2023-07-06,14:57:21,ritchvol2531,positive
273,gk kerasa 3 tahun lalu,1.0,2023-07-06,14:10:08,Lozxy974,neutral
274,udah 2023 aja,3.0,2023-07-05,23:30:26,Xstar_zyy,neutral
275,bye 2020 senang bisa beemu,0.0,2023-07-05,18:33:15,IwantFreeT10,positive
276,video sejarah ya ini,0.0,2023-07-04,10:49:46,farhanrizki6845,neutral
277,gak terasa sudah 3 tahun,0.0,2023-07-04,08:27:34,COVAN-GM,negative
278,ga kerasa dah 3 tahun,1.0,2023-07-03,23:58:07,NotTrueBoys,neutral
279,kita berhasil beahan,1.0,2023-07-03,14:58:50,wibusejati2799,positive
280,halo saya dari masa depan dari 2023 di tahun 2023 corona udah ga ada ya,0.0,2023-07-03,14:19:47,sadalipboy3903,neutral
281,wkwkw ga kerasa udah mau 4 thn aja corona,1.0,2023-07-03,08:43:40,rizkygz81,positive
282,gak nyangka udh 3 tahun,0.0,2023-07-03,03:52:51,natannatan6799,neutral
283,ga nyangka dah 3 tahun,0.0,2023-07-03,02:41:22,HostileMob,neutral
284,2020 tahun banyak kenangan,1.0,2023-07-02,10:27:11,Alv10798,negative
285,war is over,0.0,2023-06-30,04:37:29,SadamBimasena,neutral
286,kita adalah saksi dari sejarah yang menghebohkan dunia ini,2.0,2023-06-27,04:07:17,bagusalfa8616,positive
287,gak nyangka udh 3 tahun yang lalu,2.0,2023-06-27,02:18:03,jamboreShitpost-op8qd,negative
288,kangen vibesnya bukan virusnya,1.0,2023-06-27,04:08:01,bagusalfa8616,negative
289,kangen vibes nya bukan virusnya,2.0,2023-06-26,12:34:32,Gammaskuy,negative
290,kenangan i love 2020,0.0,2023-06-26,03:43:06,mirzaarfamuktiwardhana3816,positive
291,banyak kenangannya,0.0,2023-06-26,03:20:50,ftuberz,negative
292,kenangan yang sudah berlalu,2.0,2023-06-25,12:39:00,msofficial1053,negative
293,kita bagian dari sejarah guys,0.0,2023-06-22,17:19:24,BeatDutz_office,positive
294,tgl 21 juni 2023 pemerintah mencabut satus pandemi jadi endemi,2.0,2023-06-21,23:39:30,sumosp5598,neutral
295,sekarang kita resmi menamatkan covid 19 amdick amdick,0.0,2023-06-21,11:20:30,HeavensssV2,neutral
296,9bln yg lalu ya,0.0,2024-04-14,13:04:11,HeavensssV2,negative
297,3 tahun lalu berlalu,0.0,2023-06-21,02:04:43,Wonyoung548,negative
298,p,0.0,2023-06-20,12:12:07,LuxyfarizFariz,positive
299,fariz,0.0,2023-06-20,12:11:50,LuxyfarizFariz,positive
300,login bang,0.0,2023-06-18,13:45:27,nrijaalm_,positive
301,kita adalah bagian dari sejarah kangen masa masa nya tapi tidak dengan virusnya,183.0,2023-06-18,10:22:38,isnamaharanisafica,negative
302,respect,1.0,2023-07-14,11:38:06,herlanamz2936,negative
303,herlanamz2936,0.0,2023-08-11,15:47:07,keffinsaputra3607,positive
304,semoga kita berkesempatan untuk menceritakan sejarah singkat ini ke anak cucu kita nanti,3.0,2023-08-29,05:08:42,farhanyoviardiansyah2959,positive
305,bener kangen masa2 awal covid bukan virusnya suasana sepi menyeluruh itu rasanya kya damai aja gitu tanpa ada hiruk pikuk suara kendaraan trus kuliah online,2.0,2023-09-11,16:52:20,kiebr8766,negative
306,kiebr8766 ya sepi karna ada virus kocak wkwk lu mau balik ke 2020 kalo ga ada virusnya ga bakal kerasa vibesnya,2.0,2024-01-04,07:01:34,chth2184,negative
307,saya dari masa depan tepatnya 2023,0.0,2023-06-17,08:37:37,enzoalrizky4697,neutral
308,udah 3 tahun aj 2 minggu berkedok 2 tahun,1.0,2023-06-16,06:11:34,Nz_VozardMiwaka,neutral
309,udah 3 tahun aja,1.0,2023-06-16,00:12:21,Xstar_zyy,neutral
310,,0.0,2023-06-14,06:11:58,topekcenel250,positive
311,kangen vibes nya,1.0,2023-06-12,03:56:24,sxsshibaawweu,negative
312,hahahaa jadi kangen 2020,0.0,2023-06-11,08:49:37,FAHMIBARUSADAR,negative
313,kalo ga ada korona gw gk punya hl,0.0,2023-06-10,04:55:12,Yo-CiA,negative
314,hl apaan,0.0,2023-06-11,03:51:30,VizzAj,neutral
315,kangen 2020,3.0,2023-06-05,08:26:18,alyssaazlls,negative
316,saya dri masa depan ternyata korona berakhir 2022 2023,0.0,2023-06-04,12:07:18,sabril1717,negative
317,hai aku dari masa depan,0.0,2023-06-04,03:33:12,aqildarmawan2959,neutral
318,kita bgian dari sejarah,2.0,2023-06-03,06:04:29,RyanMaulana30,positive
319,saya positif covid akhir 2020 saya rawat inap di rumah sendiri nggak ada keluarga yg menmani alhamdulillah 1 bulan baru sembuh sampai sekrng saya nggak ikut vaksin alhamdulillah sehat saja saudara saya ikut vaksin malah sering sakit,1.0,2023-06-02,07:11:54,ardihaza7770,positive
320,gue dari masa depan mengatakan corona sudah hilang,2.0,2023-06-01,17:51:03,ramaadam4072,neutral
321,ternyata ini 3thn yang lalu,3.0,2023-05-31,14:00:44,hanzohasashi8813,negative
322,bye vibes covid 19,2.0,2023-05-31,10:50:24,Sabara.13,neutral
323,kita akan menceritakan ke pada anak dan cucu kita bagaimana kita berjuang melawan virus corona,2.0,2023-05-31,09:30:05,Rulz_1510,positive
324,kenangan yg tidak akan di lupakan,3.0,2023-05-30,00:32:44,YudhaNakMeleTup,negative
325,jadi sejarah yang tak terlupakan,2.0,2023-05-29,14:51:48,The_Bavarian_FCB,negative
326,3 tahun yang lalu haha,0.0,2023-05-25,19:19:29,Callllllm,positive
327,dikira libur 2 bulan ternyata 2 tahun gara korona,1.0,2023-05-23,04:35:13,atifatif5533,neutral
328,jadi bagian sejarah nih,0.0,2023-05-23,03:31:27,stenly....,positive
329,hii,0.0,2023-05-22,13:41:31,ReflyMaulana-j2r,positive
330,loginnnn,0.0,2023-05-22,13:28:49,prizxonzouu5782,positive
331,udah 3 tahun aja,0.0,2023-05-22,04:21:27,ziyadjamaluddin5113,neutral
332,kangen 2020,0.0,2023-05-21,14:24:35,revianfajri5971,negative
333,libur2 minggu libur 2 tahun,2.0,2023-05-20,08:37:58,alexchannelyt5671,neutral
334,di prank 3 tahun,0.0,2023-05-20,12:36:29,Khumaedi_22,neutral
335,sudah 3 tahun berlalu,0.0,2023-05-20,03:27:20,Jaimersonn,neutral
336,jaman main ep quot,0.0,2023-05-19,18:33:09,raihanmakarim7946,neutral
337,bocill epep,0.0,2023-06-04,14:17:19,Boon-Me555,positive
338,kita merupakan bagian dari sejarah dunia,3.0,2023-05-17,09:14:28,putriapriliy6740,positive
339,sedihh,0.0,2023-05-17,05:27:39,georgykonstantinovichzhuko302,positive
340,sumpah kangen sama masa nya pas virus corona,0.0,2023-05-16,13:35:28,fnocounter2,negative
341,udh 3 tahun ya ga kerasa,0.0,2023-05-16,07:58:33,MuhammadAidil-uj5xx,neutral
342,alhamdulillah sudah berakhir,0.0,2023-05-15,16:09:59,sipalingMTL,positive
343,akhirnya berlalu,0.0,2023-05-15,15:42:59,wanhsb3881,negative
344,awal masuk covid pas akhir kelas 5 sd sekarang dah kelas 8 dan mau ke kelas 9 aja waktu semakin berlalu jadi kangen masa sd,2.0,2023-05-15,09:21:45,bingungnyarinama209,negative
345,semoga gw dimasa depan baca komen ini,1.0,2023-05-15,09:22:15,bingungnyarinama209,positive
346,gak terasa 3 thn lalu,0.0,2023-05-15,08:58:59,DeonAnggaraputra-gp6no,negative
347,hai kalian semua gimana rasanya kena prank libur 2 minggu ga enak ya sama kok dan kita disini adalah bagian dari sejarah yang terungkap,0.0,2023-05-15,06:21:06,Jamal-2.0,neutral
348,ga kerasa udah 3 tahun yaa,0.0,2023-05-15,03:39:01,xoxo_zzhar,neutral
349,kangen susana nya,0.0,2023-05-15,02:18:20,ikbalhermawan6013,negative
350,gak terasa yah bro udah 3 tahun,0.0,2023-05-15,00:45:19,pembalappemudaberbadangela5788,negative
351,gk kerasa ya udah 3 tahun,1.0,2023-05-14,09:58:27,ZenZ_21,neutral
352,gak kerasa ya udah 3 tahun aj,0.0,2023-05-13,14:27:08,Mutsumi-sp6zl,neutral
353,halo corona,1.0,2023-05-13,08:30:57,satriaakbarpramudja466,neutral
354,gak kerasa udah 3 tahun lalu,0.0,2023-05-13,06:12:29,Mywaifuis,neutral
355,hallo masa depan,0.0,2023-05-13,03:27:43,reikysandro,neutral
356,dan sekarang corona udah hilang,1.0,2023-05-12,17:06:28,ademardiansyah6749,neutral
357,halo saya dari masa depan,0.0,2023-05-12,15:28:20,FALLPTR,neutral
358,ap coba,0.0,2023-05-12,14:21:39,RezkyAidil,neutral
359,war is over,0.0,2023-05-12,09:32:14,miotowmiotow5014,neutral
360,aku kembali,0.0,2023-05-12,03:35:46,Selangkin-po9zb,positive
361,finishh kita bagian dari sejarah,2.0,2023-05-08,22:30:49,nabillgntng9933,positive
362,enddd,0.0,2023-05-08,06:39:09,AH93official,positive
363,pandemi is end,1.0,2023-05-07,22:06:24,turu550,neutral
364,sudah 3 tahun ternyata,0.0,2023-05-07,17:24:52,akungacha7639,neutral
365,setelah 1221 hari akhirnya berakhir,0.0,2023-05-07,11:17:38,troll-bi9zt,positive
366,masa masa online banyak kenalan,0.0,2023-05-07,09:56:25,kakaaji-zk9js,neutral
367,kangen 3 th yg lalu pas masih ada covid enak beut libur,0.0,2023-05-07,08:08:25,dankamubasahv430,negative
368,sumpah kemaren denger berita kalo virus covid 19 udah berakhir rasanya bangga banget disini ada yang punya pikiran atau pengen banget kalau pandemi ini harus banget dijadiin film biar jadi kenangan suatu saat nanti,16.0,2023-05-07,04:57:44,fighting4140,positive
369,akhirnya yaaa agak nostalgia ini,0.0,2023-06-30,12:32:51,nurinayahs2120,neutral
370,virusnya ga bakal hilang akan tetep ada cuman kitanya aja yg udah membangun imunitas yg kuat karna hampir semuanya udah vaksin kalo kena pun ga akan kya yg sebelumnya,0.0,2023-09-11,16:55:25,kiebr8766,neutral
371,akhir nya kita sudah resmi keluar dari zona pandemi walaupun kita banyak kehilangan teman keluarga terimakasih banyak kepada para tenaga medis kepada pemerintah yang bekerja dengan sangat baik sea masyarakat yang mengikuti aturan pemerintah dengan baik,32.0,2023-05-06,20:55:25,VN11235,positive
372,dari 2023,0.0,2023-05-03,11:58:05,HaByte386,positive
373,sad,0.0,2023-05-02,13:59:57,D3KU_-,negative
374,2023 sendiri,0.0,2023-04-30,12:38:47,itsrika4723,positive
375,finally guys kita bisa melewati fase fase ini gt,0.0,2023-04-26,04:18:33,1brooklynbaby_____,positive
376,taun yg g akan pernah gw lupain,0.0,2023-04-26,02:50:49,rizee-kn9ce,negative
377,pengen ke 2020 lagi,0.0,2023-04-25,02:58:21,marvell2871,negative
378,tahun dimana aku masih happpppppyyyyyy bgttttt,0.0,2023-04-24,00:56:24,altanreivataburhanudin2544,negative
379,tahun terbaik si,0.0,2023-04-23,05:16:47,ahmadfauzan1998_,positive
380,2023 masih nostalgia,0.0,2023-04-23,03:17:40,eagleroses8949,neutral
381,trimakasi covid19 skolah ku meliburkan 2 minggu waktu itu tanpa ku tau sudah ku lewati 2 tahun bersamamu,1.0,2023-04-18,09:03:10,justinehartanto7422,negative
382,ya jaman dulu,1.0,2023-04-15,16:41:25,rasya8396,neutral
383,waw udah 3 taun aja,0.0,2023-04-15,06:36:10,ganeshapratamawijaya6687,neutral
384,ingat kita cuma libur ampe 2 minggu aja ygy,0.0,2023-04-11,06:21:37,rizkyje-er3338,neutral
385,2020 seru vibes nya,0.0,2023-04-03,22:28:27,yahahahbayu6303,positive
386,kangen parah asli kalo di inget2 pengen nangis,0.0,2023-04-13,13:15:09,nurwahyutri.9292,negative
387,yoi pake masker ada petugas semprot vaksin dll,1.0,2023-04-16,15:39:18,Lttttds,neutral
388,anniversary ke 3 alhamdulillah 2023 indonesia sudah bersih dari virus covid,1.0,2023-04-03,13:23:52,lanaex228,positive
389,alhamdulilah,0.0,2023-06-06,14:06:46,classterror3213,positive
390,kembalikan vibesnya jangan virusnya,0.0,2023-04-01,01:43:37,dhqnzii,negative
391,contoh org nolep,0.0,2023-04-02,01:45:42,ximipa1_06_imadedwiwiranat3,negative
392,and now we have passed it today march 31 2023 rsdc wisma atlet officially closed kita menang,0.0,2023-03-31,14:31:45,gilangtryana9467,positive
393,gak kerasa udh 3th lalu,1.0,2023-03-27,11:51:35,DITZFZE,negative
394,korona sudah hilang ga ada,0.0,2023-03-25,21:05:00,abi04279,neutral
395,eps 1,1.0,2023-03-23,13:14:52,Uchiyama-go54,positive
396,semua ini berawal dari depok lagi depok lagi,2.0,2023-03-20,23:37:29,hmm-ry7ed,neutral
397,ultah ke 3 tahun,0.0,2023-03-17,18:41:54,gilangfebriano8199,neutral
398,ternyata 2020 gak seburuk itu,1.0,2023-03-17,10:37:17,Gilang_Prt,negative
399,vibes 2020 gada obat anjj,1.0,2023-03-15,09:06:53,akunngepngep-nj5xq,neutral
400,3 tahun yang lalu,0.0,2023-03-15,04:54:04,Starh4n,negative
401,2023 indonesia bebas corona,1.0,2023-03-12,02:31:37,RENNVILE,neutral
402,2023 kurang kerjaan nonton beginian,5.0,2023-03-11,07:47:00,fadildile116,negative
403,mungkin gara kangen wfh sekolah onlen bg,0.0,2023-03-13,01:07:20,aizawaririka,negative
404,rindu momentnya tapi tidak virusnya,20.0,2023-03-08,19:10:07,ilhamwan,negative
405,woii,0.0,2023-05-22,13:41:42,ReflyMaulana-j2r,positive
406,udh 3 thn v,0.0,2023-03-08,15:29:27,Fxxksagegwell,positive
407,yang nonton tahun 2023,0.0,2023-03-08,06:18:55,ihinihin3424,neutral
408,korona anjingnya,0.0,2023-03-06,16:21:27,puridwicahyo5091,negative
409,kangen masa masa ini,0.0,2023-03-05,12:43:28,kakaaji-zk9js,negative
410,sama,0.0,2023-06-04,18:01:14,DikaYudhaanggara,positive
411,telat 3 tahun,0.0,2023-03-05,05:53:07,adityaisnanmaulana9292,negative
412,sudah 3 tahun yang berlalu,1.0,2023-03-03,14:03:52,Felix-qp6ys,neutral
413,saya dari masa depan 2023 tahun ini sangat lebih baik walau pun ada yang hilang,0.0,2023-03-03,12:45:59,jamesruytjhaijadi1098,positive
414,detik2 libur 2 tahun,1.0,2023-03-03,12:21:56,karlosjefendi1822,neutral
415,sejarah yg tidak akan pernah di lupakan,1.0,2023-03-03,12:09:04,sabot8246,negative
416,g kerasa udh 3 th lalu,1.0,2023-03-03,11:38:25,yusrayusra2946,negative
417,tepat kemarin kasus covid peama di indonesia,0.0,2023-03-03,10:31:28,esann4793,neutral
418,ini pas harinya ya,0.0,2023-03-03,06:26:38,josuabobisaragih-bm4tt,neutral
419,dh 3 tahun aja,0.0,2023-03-03,06:11:02,hikmal_kf,neutral
420,on this day 3 years ago,0.0,2023-03-02,21:16:34,fadilandarunugroho7629,neutral
421,on this day 3 years ago,0.0,2023-03-02,21:15:07,fadilrauf8239,neutral
422,3 tahun,0.0,2023-03-02,17:19:49,prayogajolin2810,neutral
423,udh 3 taun aja,1.0,2023-03-02,16:04:57,kadalutan,positive
424,tepat hari ini 3 tahun yang lalu,1.0,2023-03-02,16:00:44,abcd12904,neutral
425,gak kerasa aja ya yg dulunya disuruh libur 2 minggu malah jadi 2 tahun aja dan sekarang udah 3 tahun,2.0,2023-03-02,15:15:44,anaksamsu,neutral
426,login,1.0,2023-03-02,14:36:06,mrbinxxx123,positive
427,njayyy pass bat 3 taunn,2.0,2023-03-02,13:43:23,mafr24,positive
428,3 taun yang lalu coy quot,1.0,2023-03-02,13:23:38,renzzsr2928,positive
429,p dh 2 taun njir,1.0,2023-03-02,12:32:22,gataunamanyasiapa7893,neutral
430,3 tahun broo,0.0,2023-03-02,23:05:19,Dann498,neutral
431,happy anniversary 2 tahun,0.0,2023-03-02,12:12:33,santosomj,positive
432,3 tahun,0.0,2023-03-02,12:12:59,muhamadsupriadi2561,neutral
433,muhamadsupriadi2561 eh iya ding 3 tahun,0.0,2023-03-02,12:30:47,santosomj,neutral
434,gakerasa,0.0,2023-03-02,13:31:49,eLgaza0,positive
435,udh 3th yg lalu,0.0,2023-03-02,12:04:50,arfaardiansyah4644,negative
436,3 thn yg lalu,0.0,2023-03-02,10:56:41,iyusbekasi4890,positive
437,gk kerasa udh 3 thn yg lalu,1.0,2023-03-01,23:58:42,James78336,positive
438,besok udah 3 tahunn,0.0,2023-03-01,08:39:47,filbertchandra-ow7ik,neutral
439,aku dari 2023,0.0,2023-02-28,14:45:29,ekarianandikarailfan,positive
440,gak kerasa ya udah 2 tahun,0.0,2023-02-27,11:35:47,rasyadbagussetyawan6004,neutral
441,kangen libur 2 minggu,0.0,2023-02-26,14:50:56,abcd12904,neutral
442,tahun,0.0,2023-03-02,12:32:38,gataunamanyasiapa7893,neutral
443,selesai terima kasihhh,0.0,2023-02-25,05:08:23,faridamrullah6675,positive
444,depok goin hard brotha,0.0,2023-02-23,06:50:17,aleksyevich,negative
445,sejarah yg tidakk pernah terlupakan,47.0,2023-02-17,11:28:55,zazaeelovee,positive
446,ini bukan film ini nyata dari 2020 wkkw,0.0,2023-04-08,10:04:12,jii5982,positive
447,jii5982 yg bilang flm siapa ege,0.0,2023-04-09,03:04:34,zazaeelovee,negative
448,zazaeelovee iya kek film anjr,1.0,2023-04-10,16:08:35,jii5982,negative
449,hallo semuanya saya dari masa depan mau beri tahu covid 19 sudah usai,1.0,2023-02-15,14:05:44,jurandirandi145,positive
450,hallo semuanya saya dari masa depan mau beri tahu covid 19 sudah usai,0.0,2023-02-15,14:05:10,jurandirandi145,positive
451,haloo gw dari 2023,0.0,2023-02-15,07:39:56,muhammadlim5112,neutral
452,virus yg membuat banyak kenangan udah 3 tahun yg lalu aja bersyukur bisa selamat,2.0,2023-02-14,11:46:22,KyuraZ19,positive
453,only in depok,0.0,2023-02-14,06:33:54,farhanadzdzikra8034,neutral
454,sejarah manusia di tahun 2020,1.0,2023-02-12,02:32:01,ragasetiawanreal,neutral
455,aku kembaliiii,1.0,2023-02-09,08:56:18,muel8299,negative
456,akhirnya kita sudah melewati cofid 19 sudah 2 tahun yang lalu belajar daring bosen gak ada teman main epep sama among us waktu itu lagi nge trend nge trend nya,1.0,2023-02-09,01:11:48,vaniahikari5335,neutral
457,libur 2 minggu menjadi 2 tahun,1.0,2023-02-07,03:40:58,aidanfathah8290,neutral
458,quot tetap semangat indonesia ku quot senin 6 februari 2023,1.0,2023-02-06,13:58:56,dedik09,positive
459,njir dah mau 3 thn aja gua peama kali nonton video ini shok parah ga kebayang sekolah ampe libur 1 5thn,1.0,2023-02-05,07:29:03,matamataejen,negative
460,wkww,0.0,2023-02-09,20:53:01,AndreeOfficialTV,positive
461,yah cepet banget waktu,0.0,2023-02-02,23:25:33,suryaff5588,positive
462,ternyata 2020 itu udh 3tahun yg lalu,1.0,2023-02-02,14:23:39,Farhan-ny6we,negative
463,y juga dahlama ternyata,0.0,2023-02-13,08:28:02,duatigaanakgoblok2419,negative
464,kenapa bisa tau virus corona apakah sebelum nya sudah pernah di teliti atau sudah di ciptakan virus corona,0.0,2023-02-01,16:05:14,doanruli4681,neutral
465,sejarah dunia,1.0,2023-01-31,11:40:32,joesandy1682,positive
466,libur 2 minggu,0.0,2023-01-30,22:38:49,zon373,neutral
467,eh gataunya libur 2 thn,0.0,2023-02-05,07:33:13,matamataejen,positive
468,ngapai ngurusin penyakit teruuss sudah lah tobat jangan berbohong,0.0,2023-01-28,17:08:39,jonisantoso9133,negative
469,korona atau kolormu higa higa icikiwir,0.0,2023-01-28,09:15:32,ggsk6580,neutral
470,hallo saya dari masa depan,0.0,2023-01-28,03:42:18,lord7858,neutral
471,flashback,0.0,2023-01-27,10:57:18,intelmosadadmin1006,positive
472,kangen vibenya kangen rumah lama kangen temen rl dan viual,1.0,2023-01-24,15:58:01,Alteewzx,neutral
473,feeling good lakasut orang mainin rokok di gunung,1.0,2023-01-19,02:55:55,Prasetyovich,neutral
474,ah jadi kangen masa itu,0.0,2023-01-19,02:55:31,Prasetyovich,negative
475,masa masa yang tidak akan terulang kembali,1.0,2023-01-18,11:28:11,imfishh7866,positive
476,sedang kembali ke 2020,1.0,2023-01-18,08:11:54,NiskiVon.Roosevelt,negative
477,ganyangka bisa survive dr pandemi amp segala kesusahan ekonomi walaupun sodara2 byk yg direngut sm covid alfatihah,1.0,2023-01-15,15:02:05,apebila,neutral
478,sebelum vibes 2020 di mulai wkwk,0.0,2023-01-07,03:41:16,zozi05,positive
479,gk kerasa udh 2023 2 tahun mampu kita lewati,0.0,2023-01-05,04:11:32,Aji_234,neutral
480,liburan 2 minggu aja kok,1.0,2023-01-04,05:16:30,jomblohepy2717,neutral
481,dlu pgn sekolah fullskrng pgn daring lgi,3.0,2023-01-02,07:43:40,reauraa6787,negative
482,anjayy,0.0,2022-12-31,00:28:22,muhammadalfin7567,positive
483,halo masih ada yg nonton ini tahun 2023,2.0,2022-12-29,04:38:32,kingdavid380,neutral
484,me,0.0,2023-01-04,18:16:58,muhammadrafiefaezaarrumi3240,neutral
485,aku,0.0,2023-02-28,14:46:23,ekarianandikarailfan,negative
486,kangen vibes 2020,3.0,2022-12-28,11:33:02,muhammadfiqry5698,neutral
487,warr is over,0.0,2022-12-28,10:06:56,bocilreportmall2358,negative
488,gk terasa ya,0.0,2022-12-27,09:22:53,sansss44,negative
489,ancrit dah mau 3 tahun,0.0,2022-12-19,09:23:44,fachryxd2099,neutral
490,anjrit ga kerasa besok udah 2023,0.0,2022-12-18,12:26:50,omagaaaaaa,neutral
491,udah 2tahun aja,0.0,2022-12-18,07:58:10,kunyukbelis2770,positive
492,gak terasa udh 2 tahun yg lalu dimana gw daring gak ngerjain epep among us lagi tren nya epep juga pas panas panasnya ternyata di balik masa susah nya ada kenangan yang gabisa di ulangi,13.0,2022-12-15,12:04:03,Bagasputraasmara,negative
